Title,Grade,CourseType,PrimaryCMI,SecondaryCMI,OptionalCMI,PrimaryMLG,SecondaryMLG,OptionalMLG,THCredit,PWLCredit,TrainingObjectivesJson
4B.3.7 Air cond.,Grade 11,BOTH,Rizky,Gita,,,,,1,2,
4B.3.8 Cabin press.,Grade 11,BOTH,Rizky,Gita,,,,,1,2,
5B.1.1 AC-DC circuit,Grade 11,BOTH,Ayu,Rahmat,,,,,2,3,
5B.1.2 Semiconductors,Grade 11,BOTH,Ayu,Rahmat,,,,,1,3,
5B.1.3 Servomechanisms,Grade 11,BOTH,Ayu,Rahmat,,,,,1,3,
5B.2.1 Nav. Sys.,Grade 11,BOTH,Rizky,Ghata,,,,,3,3,
5B.3.1 Radio comm.,Grade 11,BOTH,Ghata,Kartika,,,,,2,3,
5B.3.2 Radio Nav.,Grade 11,BOTH,Ghata,Kartika,,,,,2,3,
5B.3.3 Detection,Grade 11,BOTH,Ghata,Kartika,,,,,2,3,
7B.1.1 Def aero carreers,Grade 11,TH,Ghata,Kartika,,,,,3,0,
7B.1.2 Aeronautic trainning,Grade 11,TH,Ghata,Kartika,,,,,3,0,
7B.1.3 Skills and comp.,Grade 11,TH,Ghata,Kartika,,,,,3,0,
7B.1.4 Concerns in aviation,Grade 11,TH,Ghata,Kartika,,,,,3,0,
9.1.1 Pressure,Grade 11,BOTH,Ayu,Rahmat,,,,,1,2,
9.1.2 Fluid mechanics,Grade 11,BOTH,Ayu,Rahmat,,,,,1,2,
9.1.3 Fluid dynamics,Grade 11,BOTH,Ayu,Rahmat,,,,,2,2,
9.2.1 Thermodynamics,Grade 11,BOTH,Ayu,Rahmat,,,,,2,2,
9.3.1 Optics,Grade 11,BOTH,Ayu,Rahmat,,,,,2,2,
9.4.1 Acoustics,Grade 11,BOTH,Ayu,Rahmat,,,,,2,2,
10.1.1  Weapons types and uses,Grade 11,BOTH,Ghata,Kartika,,,,,2,2,
"10.1.2 Defensive Systems, Integration and Control",Grade 11,TH,Ghata,Kartika,,,,,2,0,
10.1.3 Advanced Weapon Systems and Concerns,Grade 11,TH,Ghata,Kartika,,,,,2,0,
11A.1.1 Prevent and secure,Grade 11,BOTH,Ghata,Kartika,,,,,6,0,
11A.2.1 Enhance human,Grade 11,BOTH,Ghata,Kartika,,,,,2,0,
3C.1.1 Thermodynamics,Grade 12,BOTH,Rizky,Gita,,,,,2,2,"[{""category"": ""SCIENTIFIC LITERACY"", ""text"": ""Introduce fundamental knowledge of thermodynamics.""}, {""category"": ""TECHNOLOGY"", ""text"": ""Analyse local sourcing constraints applied on aeronautical thermodynamic systems.""}, {""category"": ""INNOVATION"", ""text"": ""Combine theoretical thermodynamics with a project-based deliverable.""}]"
3C.1.2 Aerodynamics,Grade 12,BOTH,Rizky,Gita,,,,,2,2,
3C.1.3 Regulations,Grade 12,BOTH,Rizky,Gita,,,,,2,0,
